"id","name","description","location","status","created_at","updated_at","volcano_id"
"c5e39fa0-867a-11e6-a353-2f6c041e2491","N1","\N","\N","OFFLINE","2016-08-17 01:06:49+00","2016-09-29 19:28:05.932+00","35dc3e90-8679-11e6-bda3-ef77801087ee"
"c147ece0-8679-11e6-a353-2f6c041e2491","N9","\N","\N","OFFLINE","2016-08-07 00:51:40+00","2016-09-29 19:41:07.065+00","35dc3e90-8679-11e6-bda3-ef77801087ee"
"76309900-8679-11e6-a353-2f6c041e2491","N8","\N","\N","OFFLINE","2016-08-03 22:09:40+00","2016-09-29 19:20:17.417+00","35dc3e90-8679-11e6-bda3-ef77801087ee"
"762b8ff0-8679-11e6-a353-2f6c041e2491","N10","\N","\N","OFFLINE","2016-08-03 04:39:25+00","2016-09-29 19:20:17.431+00","35dc3e90-8679-11e6-bda3-ef77801087ee"
"c14ccee0-8679-11e6-a353-2f6c041e2491","N2","\N","\N","OFFLINE","2016-08-10 04:20:22+00","2016-09-29 19:20:17.523+00","35dc3e90-8679-11e6-bda3-ef77801087ee"
"d3cbc350-8679-11e6-a353-2f6c041e2491","N3","\N","\N","OFFLINE","2016-08-15 06:10:39+00","2016-10-05 12:42:18.953+00","35dc3e90-8679-11e6-bda3-ef77801087ee"
"762c5340-8679-11e6-a353-2f6c041e2491","N7","\N","\N","OFFLINE","2016-08-03 21:50:32+00","2016-10-07 07:43:05.001+00","35dc3e90-8679-11e6-bda3-ef77801087ee"
"d3ca3cb0-8679-11e6-a353-2f6c041e2491","N4","\N","\N","OFFLINE","2016-08-15 05:22:31+00","2016-10-07 07:43:05.001+00","35dc3e90-8679-11e6-bda3-ef77801087ee"
"d3cb7530-8679-11e6-a353-2f6c041e2491","N5","\N","\N","OFFLINE","2016-08-15 05:31:29+00","2016-10-07 07:43:05.002+00","35dc3e90-8679-11e6-bda3-ef77801087ee"
"ede3ed60-e701-11e6-83c1-01ce06e6d17f","RSAM","\N","\N","OFFLINE","1970-01-17 23:35:31.231+00","2017-01-30 16:24:05.867+00","35dc3e90-8679-11e6-bda3-ef77801087ee"
"e662fab0-8679-11e6-a353-2f6c041e2491","N6","\N","\N","OFFLINE","2016-08-15 08:46:05+00","2016-09-29 19:21:19.649+00","35dc3e90-8679-11e6-bda3-ef77801087ee"
