"id","description","data_frequency","status","created_at","updated_at","data_type_id","node_id"
"c15a6370-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-07 00:51:40+00","2016-09-29 19:41:07.066+00","35dcdad0-8679-11e6-bda3-ef77801087ee","c147ece0-8679-11e6-a353-2f6c041e2491"
"7635c920-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-03 04:39:25+00","2016-09-29 20:13:52.793+00","35dcdad2-8679-11e6-bda3-ef77801087ee","762b8ff0-8679-11e6-a353-2f6c041e2491"
"763b9580-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-03 04:39:25+00","2016-09-29 20:13:52.797+00","35dcdad1-8679-11e6-bda3-ef77801087ee","762b8ff0-8679-11e6-a353-2f6c041e2491"
"763ca6f0-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-03 04:39:25+00","2016-09-29 20:13:52.803+00","35dcb3c0-8679-11e6-bda3-ef77801087ee","762b8ff0-8679-11e6-a353-2f6c041e2491"
"763d9150-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-03 04:39:25+00","2016-09-29 20:13:52.811+00","35dcb3c1-8679-11e6-bda3-ef77801087ee","762b8ff0-8679-11e6-a353-2f6c041e2491"
"7636da90-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-03 21:50:32+00","2016-09-30 18:12:04.577+00","35dcdad0-8679-11e6-bda3-ef77801087ee","762c5340-8679-11e6-a353-2f6c041e2491"
"76413ad0-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-03 22:09:40+00","2016-09-29 20:13:52.818+00","35dcdad2-8679-11e6-bda3-ef77801087ee","76309900-8679-11e6-a353-2f6c041e2491"
"764161e0-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-03 04:39:25+00","2016-09-29 20:13:52.82+00","35dcb3c2-8679-11e6-bda3-ef77801087ee","762b8ff0-8679-11e6-a353-2f6c041e2491"
"c5e685d0-867a-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-17 01:06:49+00","2016-09-29 20:13:52.822+00","35dcdad2-8679-11e6-bda3-ef77801087ee","c5e39fa0-867a-11e6-a353-2f6c041e2491"
"c5e9ba20-867a-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-17 01:06:49+00","2016-09-29 20:13:52.824+00","35dcb3c2-8679-11e6-bda3-ef77801087ee","c5e39fa0-867a-11e6-a353-2f6c041e2491"
"c159c730-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-07 00:51:40+00","2016-09-29 20:13:52.831+00","35dcdad2-8679-11e6-bda3-ef77801087ee","c147ece0-8679-11e6-a353-2f6c041e2491"
"c159ee40-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-07 00:51:40+00","2016-09-29 20:13:52.833+00","35dcdad1-8679-11e6-bda3-ef77801087ee","c147ece0-8679-11e6-a353-2f6c041e2491"
"c15a6371-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-07 00:51:40+00","2016-09-29 20:13:52.836+00","35dcb3c0-8679-11e6-bda3-ef77801087ee","c147ece0-8679-11e6-a353-2f6c041e2491"
"c15a6372-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-07 00:51:40+00","2016-09-29 20:13:52.838+00","35dcb3c1-8679-11e6-bda3-ef77801087ee","c147ece0-8679-11e6-a353-2f6c041e2491"
"c15c5f40-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-07 00:51:40+00","2016-09-29 20:13:52.843+00","35dcb3c2-8679-11e6-bda3-ef77801087ee","c147ece0-8679-11e6-a353-2f6c041e2491"
"c15ef750-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-10 04:20:22+00","2016-09-29 20:13:52.845+00","35dcdad2-8679-11e6-bda3-ef77801087ee","c14ccee0-8679-11e6-a353-2f6c041e2491"
"76427350-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-03 22:09:40+00","2016-09-29 19:20:17.416+00","35dcdad1-8679-11e6-bda3-ef77801087ee","76309900-8679-11e6-a353-2f6c041e2491"
"76427351-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-03 22:09:40+00","2016-09-29 19:20:17.416+00","35dcdad0-8679-11e6-bda3-ef77801087ee","76309900-8679-11e6-a353-2f6c041e2491"
"7644bd40-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-03 22:09:40+00","2016-09-29 19:20:17.417+00","35dcb3c0-8679-11e6-bda3-ef77801087ee","76309900-8679-11e6-a353-2f6c041e2491"
"7645ceb0-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-03 22:09:40+00","2016-09-29 19:20:17.417+00","35dcb3c1-8679-11e6-bda3-ef77801087ee","76309900-8679-11e6-a353-2f6c041e2491"
